Id;Name
94;Horn, Christer Claesson
112;Kurck, Knut Jönsson
164;Posse, Gustaf Knutsson
211;Stiernskiöld, Claes Nilsson
247;Banér, Gustaf Carlsson
110;Kurck, Gustaf Jönsson
259;Rålamb, Claes Brorsson
261;Sparre, Per Persson
234;Ulfeldt, Ebbe
255;De la Gardie, Pontus Fredrik Jacobsson
87;Gyllenstierna, Göran Göransson
264;Lewenhaupt, Ludvig Wierich
195;Sparre, Gustaf Larsson
258;Bonde, Tord Ulfsson
90;Gyllenstierna, Johan Göransson
266;Stenbock, Johan Gabriel Fredriksson
260;Gripenhielm, Edmund Nikolausson
257;De la Gardie, Gustaf Adolf Magnusson
267;Oxenstierna af Korsholm och Wasa, Gustaf Gabrielsson
222;Torstensson, Anders Lennartsson
49;Creutz, Ernst Johan Ernstsson
256;De la Gardie, Axel Julius Jacobsson
