Source,Target,Type,Id,Weight
170,272,Undirected,312,1.0
170,85,Undirected,313,1.0
170,115,Undirected,314,1.0
180,91,Undirected,315,1.0
180,199,Undirected,316,1.0
235,236,Undirected,317,1.0
235,225,Undirected,318,1.0
235,237,Undirected,319,1.0
18,25,Undirected,320,1.0
18,147,Undirected,321,1.0
18,21,Undirected,322,1.0
18,15,Undirected,323,1.0
18,20,Undirected,324,1.0
18,24,Undirected,325,1.0
18,6,Undirected,326,1.0
18,226,Undirected,327,1.0
18,3,Undirected,328,1.0
43,42,Undirected,329,1.0
43,44,Undirected,330,1.0
43,233,Undirected,331,1.0
52,51,Undirected,332,1.0
52,57,Undirected,333,1.0
52,155,Undirected,334,1.0
52,31,Undirected,335,1.0
52,65,Undirected,336,1.0
145,156,Undirected,337,1.0
145,145,Undirected,338,1.0
145,151,Undirected,339,1.0
145,158,Undirected,340,1.0
145,98,Undirected,341,1.0
190,163,Undirected,342,1.0
190,191,Undirected,343,1.0
205,203,Undirected,344,1.0
205,37,Undirected,345,1.0
205,202,Undirected,346,1.0
205,204,Undirected,347,1.0
205,207,Undirected,348,1.0
205,39,Undirected,349,1.0
205,48,Undirected,350,1.0
101,95,Undirected,351,1.0
101,102,Undirected,352,1.0
28,27,Undirected,353,1.0
28,91,Undirected,354,1.0
28,26,Undirected,355,1.0
53,57,Undirected,356,1.0
53,38,Undirected,357,1.0
53,55,Undirected,358,1.0
53,54,Undirected,359,1.0
53,56,Undirected,360,1.0
53,255,Undirected,361,1.0
53,256,Undirected,362,1.0
53,157,Undirected,363,1.0
53,126,Undirected,364,1.0
53,207,Undirected,365,1.0
181,211,Undirected,366,1.0
81,174,Undirected,367,1.0
95,101,Undirected,368,1.0
95,123,Undirected,369,1.0
119,122,Undirected,370,1.0
119,193,Undirected,371,1.0
119,30,Undirected,372,1.0
155,156,Undirected,373,1.0
155,145,Undirected,374,1.0
155,23,Undirected,375,1.0
155,14,Undirected,376,1.0
155,57,Undirected,377,1.0
155,178,Undirected,378,1.0
155,52,Undirected,379,1.0
152,147,Undirected,380,1.0
152,146,Undirected,381,1.0
152,5,Undirected,382,1.0
152,148,Undirected,383,1.0
152,154,Undirected,384,1.0
152,267,Undirected,385,1.0
152,192,Undirected,386,1.0
184,183,Undirected,387,1.0
184,87,Undirected,388,1.0
213,212,Undirected,389,1.0
10,5,Undirected,390,1.0
10,79,Undirected,391,1.0
10,246,Undirected,392,1.0
10,24,Undirected,393,1.0
172,252,Undirected,394,1.0
172,173,Undirected,395,1.0
